epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3570.11,1.21479,0.72283,0.9697,0.91377,0.76823,0.83908,0.50864,1.36972,0.75682,0.90064,0.007162,0.007162,0.007162
45,3655.93,1.21571,0.70982,0.97062,0.91892,0.7604,0.83799,0.50483,1.37929,0.76749,0.90271,0.007096,0.007096,0.007096
46,3741.67,1.21134,0.71714,0.97808,0.93407,0.75136,0.84139,0.52094,1.32583,0.74255,0.89662,0.00703,0.00703,0.00703
47,3827.54,1.19646,0.6977,0.96105,0.9245,0.77086,0.84213,0.50102,1.37158,0.75199,0.8969,0.006964,0.006964,0.006964
48,3913.31,1.19853,0.70712,0.96798,0.92027,0.76629,0.84704,0.52384,1.34077,0.75625,0.8988,0.006898,0.006898,0.006898
49,3999.14,1.17813,0.6848,0.96371,0.91126,0.75925,0.83846,0.51159,1.3842,0.76625,0.90202,0.006832,0.006832,0.006832
50,4084.93,1.18792,0.69838,0.95664,0.90995,0.76718,0.84251,0.52084,1.34657,0.75298,0.8904,0.006766,0.006766,0.006766
51,4170.67,1.16184,0.68496,0.95345,0.92343,0.75924,0.84501,0.5212,1.33055,0.72814,0.89931,0.0067,0.0067,0.0067
52,4256.44,1.17946,0.68651,0.96146,0.93014,0.78024,0.85504,0.52078,1.35403,0.71755,0.90106,0.006634,0.006634,0.006634
53,4342.15,1.15633,0.66396,0.96053,0.93052,0.78178,0.85524,0.52841,1.3289,0.71477,0.89621,0.006568,0.006568,0.006568
54,4427.85,1.14552,0.66049,0.94956,0.91872,0.76803,0.84844,0.52951,1.32455,0.71383,0.89662,0.006502,0.006502,0.006502
55,4513.63,1.15016,0.66844,0.94686,0.91899,0.77042,0.84882,0.52396,1.32264,0.7076,0.89386,0.006436,0.006436,0.006436
56,4599.33,1.16239,0.67635,0.94512,0.93289,0.7797,0.85961,0.54179,1.28193,0.70408,0.88422,0.00637,0.00637,0.00637
57,4685.13,1.15495,0.67161,0.95286,0.93444,0.7749,0.85347,0.53317,1.28788,0.70862,0.8878,0.006304,0.006304,0.006304
58,4770.82,1.14685,0.66908,0.94054,0.93178,0.77833,0.85537,0.53312,1.29958,0.70374,0.89036,0.006238,0.006238,0.006238
59,4856.58,1.11983,0.64721,0.94659,0.93286,0.781,0.85794,0.53303,1.30973,0.70012,0.89154,0.006172,0.006172,0.006172
60,4942.3,1.13164,0.6434,0.93399,0.9406,0.76122,0.85502,0.53377,1.29345,0.69194,0.88978,0.006106,0.006106,0.006106
61,5028.01,1.13083,0.6426,0.94549,0.91996,0.78938,0.86469,0.53842,1.30128,0.70204,0.88411,0.00604,0.00604,0.00604
62,5113.75,1.13171,0.63966,0.94536,0.93862,0.76917,0.8509,0.53248,1.30101,0.6985,0.88659,0.005974,0.005974,0.005974
63,5199.53,1.1229,0.6503,0.94216,0.93338,0.78443,0.86286,0.53965,1.28717,0.68659,0.88804,0.005908,0.005908,0.005908
64,5285.29,1.12333,0.64373,0.94399,0.92233,0.77926,0.85706,0.53663,1.2813,0.69986,0.88489,0.005842,0.005842,0.005842
65,5370.92,1.11713,0.63658,0.94066,0.91941,0.78784,0.86411,0.54546,1.2856,0.66507,0.88702,0.005776,0.005776,0.005776
66,5456.66,1.0968,0.6352,0.92999,0.9337,0.78988,0.85863,0.54823,1.25942,0.67184,0.88385,0.00571,0.00571,0.00571
67,5542.41,1.10024,0.61794,0.93322,0.93879,0.77244,0.86473,0.54682,1.27755,0.67639,0.88958,0.005644,0.005644,0.005644
68,5628.1,1.09969,0.62309,0.92783,0.93582,0.78901,0.86623,0.54865,1.26819,0.66689,0.89031,0.005578,0.005578,0.005578
69,5713.8,1.10413,0.62673,0.93738,0.93164,0.78514,0.87012,0.55319,1.26053,0.66523,0.88717,0.005512,0.005512,0.005512
70,5799.48,1.07565,0.61317,0.92901,0.93421,0.77986,0.86304,0.5472,1.25908,0.6752,0.88748,0.005446,0.005446,0.005446
71,5885.18,1.07226,0.60614,0.92106,0.93503,0.77795,0.86246,0.55365,1.24426,0.65686,0.88662,0.00538,0.00538,0.00538
72,5970.85,1.06992,0.6205,0.92391,0.92902,0.79168,0.86931,0.55478,1.24329,0.66372,0.88746,0.005314,0.005314,0.005314
73,6056.63,1.07629,0.61164,0.92313,0.94571,0.78417,0.86621,0.55327,1.24927,0.65502,0.88266,0.005248,0.005248,0.005248
74,6142.41,1.08109,0.60192,0.9298,0.92842,0.78214,0.86091,0.5564,1.23642,0.64339,0.88431,0.005182,0.005182,0.005182
75,6228.25,1.06185,0.60107,0.92127,0.92394,0.79969,0.86661,0.55399,1.25235,0.65492,0.88551,0.005116,0.005116,0.005116
76,6313.96,1.04638,0.58883,0.91691,0.93749,0.79539,0.86811,0.55339,1.2586,0.65771,0.88485,0.00505,0.00505,0.00505
77,6399.78,1.06637,0.60571,0.92622,0.93408,0.8016,0.87482,0.55864,1.24908,0.64725,0.87728,0.004984,0.004984,0.004984
78,6485.59,1.04135,0.58339,0.91382,0.94839,0.79224,0.87348,0.55568,1.24719,0.64992,0.8863,0.004918,0.004918,0.004918
79,6571.3,1.05942,0.59547,0.92093,0.93707,0.784,0.86792,0.55468,1.24412,0.64391,0.88342,0.004852,0.004852,0.004852
80,6656.95,1.04347,0.58622,0.91783,0.92085,0.80237,0.86853,0.54975,1.2472,0.64601,0.88216,0.004786,0.004786,0.004786
81,6742.6,1.05047,0.58679,0.9205,0.94295,0.79817,0.87046,0.55983,1.24039,0.63322,0.88133,0.00472,0.00472,0.00472
82,6828.34,1.02921,0.573,0.91257,0.92611,0.79168,0.86671,0.56061,1.23108,0.63739,0.8794,0.004654,0.004654,0.004654
83,6913.97,1.03401,0.56853,0.91382,0.94136,0.79741,0.87347,0.55185,1.26062,0.63733,0.88255,0.004588,0.004588,0.004588
84,6991.85,1.0528,0.58071,0.91981,0.94608,0.80339,0.87788,0.56282,1.23274,0.61898,0.87864,0.004522,0.004522,0.004522
85,7067.86,1.02764,0.5637,0.91062,0.93593,0.79698,0.87684,0.56646,1.23299,0.62414,0.88066,0.004456,0.004456,0.004456
86,7150.98,1.01886,0.56464,0.91518,0.92818,0.79392,0.86934,0.56305,1.22714,0.6282,0.87495,0.00439,0.00439,0.00439
87,7236.64,0.9985,0.55995,0.90198,0.94304,0.80122,0.87725,0.56385,1.21808,0.61398,0.87764,0.004324,0.004324,0.004324
88,7322.29,1.00891,0.54538,0.91051,0.93618,0.80031,0.87525,0.56701,1.21426,0.61337,0.87528,0.004258,0.004258,0.004258
89,7407.97,1.01083,0.54844,0.90307,0.92907,0.80694,0.87496,0.56895,1.20485,0.61095,0.87488,0.004192,0.004192,0.004192
90,7493.66,0.99444,0.54898,0.90163,0.92637,0.80771,0.87525,0.57161,1.20857,0.59817,0.87794,0.004126,0.004126,0.004126
91,7579.59,1.01264,0.55544,0.90612,0.9369,0.80427,0.87793,0.5683,1.20895,0.5997,0.87467,0.00406,0.00406,0.00406
