epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9996.87,1.30136,0.84775,1.14401,0.94913,0.84003,0.89972,0.57089,1.27425,0.76167,1.0404,0.007228,0.007228,0.007228
44,10224.4,1.27934,0.81842,1.13771,0.94949,0.8367,0.89777,0.56783,1.30647,0.75393,1.04722,0.007162,0.007162,0.007162
45,10452,1.29519,0.8282,1.14729,0.93468,0.82442,0.8907,0.55213,1.32565,0.8305,1.05595,0.007096,0.007096,0.007096
46,10679.5,1.28539,0.82834,1.13472,0.9441,0.83937,0.89817,0.56382,1.31254,0.76359,1.0525,0.00703,0.00703,0.00703
47,10907.1,1.28559,0.81748,1.13095,0.94952,0.84683,0.90175,0.55677,1.31044,0.7681,1.0467,0.006964,0.006964,0.006964
48,11134.5,1.26425,0.80585,1.12999,0.95889,0.84662,0.90424,0.57998,1.26816,0.74438,1.04227,0.006898,0.006898,0.006898
49,11362,1.27146,0.80566,1.12452,0.94818,0.84739,0.90227,0.57113,1.29453,0.74761,1.04115,0.006832,0.006832,0.006832
50,11589.5,1.2617,0.80596,1.12827,0.94799,0.84472,0.89849,0.56579,1.31956,0.76181,1.05019,0.006766,0.006766,0.006766
51,11817.1,1.26738,0.80094,1.12325,0.94667,0.85343,0.90361,0.57214,1.29241,0.72009,1.03968,0.0067,0.0067,0.0067
52,12044.6,1.25274,0.78472,1.12462,0.95473,0.85196,0.90565,0.56611,1.30025,0.71675,1.04649,0.006634,0.006634,0.006634
53,12272,1.2541,0.78936,1.12051,0.95433,0.8451,0.90808,0.57787,1.29125,0.71344,1.03794,0.006568,0.006568,0.006568
54,12499.8,1.23249,0.77921,1.10761,0.94564,0.84951,0.90673,0.57139,1.28974,0.71295,1.03721,0.006502,0.006502,0.006502
55,12727.3,1.24819,0.77637,1.10611,0.95327,0.85622,0.90575,0.5778,1.27943,0.71087,1.03819,0.006436,0.006436,0.006436
56,12954.7,1.23843,0.7722,1.12659,0.96011,0.85502,0.9087,0.57586,1.286,0.70504,1.03556,0.00637,0.00637,0.00637
57,13182.3,1.247,0.78597,1.11291,0.94481,0.85562,0.90673,0.57671,1.27771,0.71576,1.03758,0.006304,0.006304,0.006304
58,13409.7,1.24384,0.77512,1.11732,0.95228,0.84929,0.90854,0.58229,1.26936,0.71022,1.03329,0.006238,0.006238,0.006238
59,13637.5,1.2395,0.76419,1.10444,0.96371,0.85117,0.91232,0.58108,1.26987,0.70331,1.02992,0.006172,0.006172,0.006172
60,13865.1,1.21849,0.73829,1.09648,0.955,0.85834,0.906,0.57331,1.28421,0.71859,1.03837,0.006106,0.006106,0.006106
61,14092.7,1.2231,0.74716,1.10697,0.96158,0.85952,0.91239,0.58069,1.24859,0.68606,1.02307,0.00604,0.00604,0.00604
62,14320.1,1.21445,0.74802,1.10075,0.9601,0.86308,0.91245,0.58584,1.26653,0.70144,1.02878,0.005974,0.005974,0.005974
63,14547.7,1.22308,0.74044,1.09399,0.96398,0.85773,0.90975,0.5716,1.2766,0.69153,1.02853,0.005908,0.005908,0.005908
64,14775.3,1.21348,0.72957,1.09365,0.96076,0.85934,0.91352,0.586,1.25557,0.68024,1.02688,0.005842,0.005842,0.005842
65,15003.3,1.22843,0.74247,1.10267,0.96974,0.85883,0.91523,0.58139,1.26608,0.68645,1.02834,0.005776,0.005776,0.005776
66,15231.1,1.20823,0.73199,1.09277,0.9641,0.8596,0.91435,0.58013,1.26638,0.68772,1.02867,0.00571,0.00571,0.00571
67,15458.7,1.1904,0.72369,1.0913,0.96156,0.85616,0.91506,0.58727,1.26117,0.68763,1.02432,0.005644,0.005644,0.005644
68,15686.1,1.20518,0.72614,1.08637,0.96414,0.86265,0.91606,0.59225,1.24084,0.68602,1.0198,0.005578,0.005578,0.005578
69,15913.8,1.19853,0.72724,1.0931,0.95417,0.86575,0.91326,0.5837,1.27335,0.69554,1.02631,0.005512,0.005512,0.005512
70,16141.1,1.20089,0.72275,1.07368,0.96528,0.86456,0.91862,0.59016,1.25551,0.67711,1.02762,0.005446,0.005446,0.005446
71,16368.6,1.18775,0.7098,1.08736,0.96633,0.86379,0.91818,0.59172,1.25951,0.67304,1.02747,0.00538,0.00538,0.00538
72,16596.2,1.18616,0.71559,1.08341,0.96616,0.86684,0.91975,0.59297,1.25789,0.67104,1.0226,0.005314,0.005314,0.005314
73,16823.7,1.18523,0.71061,1.08162,0.96429,0.85883,0.91144,0.58561,1.26412,0.68461,1.02217,0.005248,0.005248,0.005248
74,17051.1,1.17713,0.69462,1.07741,0.96377,0.86303,0.9151,0.58824,1.25493,0.66696,1.02614,0.005182,0.005182,0.005182
75,17278.7,1.18591,0.69614,1.08085,0.95378,0.87384,0.91485,0.58864,1.25843,0.66924,1.02634,0.005116,0.005116,0.005116
76,17506.2,1.17803,0.70073,1.07978,0.96344,0.86341,0.92,0.59701,1.24165,0.66311,1.02025,0.00505,0.00505,0.00505
77,17734,1.1777,0.69368,1.07312,0.96885,0.86456,0.91586,0.58486,1.26099,0.66883,1.02612,0.004984,0.004984,0.004984
78,17961.5,1.16518,0.68202,1.06727,0.96466,0.86036,0.91396,0.59145,1.25383,0.67442,1.02354,0.004918,0.004918,0.004918
79,18188.9,1.16897,0.69865,1.07231,0.96804,0.86669,0.91787,0.58884,1.25403,0.6588,1.01841,0.004852,0.004852,0.004852
80,18416.5,1.17342,0.6991,1.07236,0.96597,0.86631,0.91532,0.58815,1.24713,0.6624,1.0194,0.004786,0.004786,0.004786
81,18643.9,1.15644,0.69126,1.06595,0.96253,0.87222,0.91824,0.59808,1.23358,0.64892,1.01664,0.00472,0.00472,0.00472
82,18870.9,1.16544,0.68665,1.08036,0.96601,0.86723,0.91819,0.59591,1.24504,0.65388,1.01742,0.004654,0.004654,0.004654
83,19098.2,1.14894,0.67323,1.05829,0.96525,0.86912,0.92056,0.59328,1.25285,0.65207,1.01972,0.004588,0.004588,0.004588
84,19325.8,1.16105,0.68384,1.06521,0.96608,0.86945,0.92141,0.60058,1.23471,0.64699,1.01711,0.004522,0.004522,0.004522
85,19552.8,1.15261,0.68249,1.06219,0.96859,0.87054,0.92046,0.59676,1.23818,0.64372,1.01987,0.004456,0.004456,0.004456
86,19779.9,1.14329,0.67271,1.06363,0.96997,0.86875,0.91955,0.59469,1.23191,0.6518,1.01293,0.00439,0.00439,0.00439
87,20007.1,1.14164,0.65691,1.05052,0.9622,0.87414,0.92086,0.60018,1.22874,0.64755,1.01164,0.004324,0.004324,0.004324
88,20234.2,1.13039,0.65463,1.05616,0.95548,0.87614,0.92041,0.60013,1.23325,0.64881,1.01278,0.004258,0.004258,0.004258
89,20461.4,1.13947,0.66482,1.05397,0.96554,0.86583,0.91902,0.59885,1.23168,0.64435,1.01357,0.004192,0.004192,0.004192
90,20688.7,1.13852,0.65753,1.06395,0.96505,0.864,0.92291,0.60295,1.2284,0.63691,1.01072,0.004126,0.004126,0.004126
91,20915.9,1.12399,0.63531,1.05062,0.97034,0.86227,0.91956,0.59895,1.2391,0.64771,1.01462,0.00406,0.00406,0.00406
92,21143.5,1.13572,0.65227,1.04747,0.96701,0.86799,0.91988,0.59917,1.23509,0.64075,1.0113,0.003994,0.003994,0.003994
93,21370.9,1.13725,0.65156,1.05699,0.96787,0.87357,0.92357,0.60209,1.22908,0.63502,1.01283,0.003928,0.003928,0.003928
94,21598.3,1.12082,0.63888,1.03664,0.96418,0.87409,0.92333,0.60671,1.2149,0.62593,1.00924,0.003862,0.003862,0.003862
95,21825.7,1.12038,0.64835,1.04589,0.96616,0.8714,0.92111,0.60483,1.22363,0.62885,1.01088,0.003796,0.003796,0.003796
96,22052.9,1.12929,0.64388,1.05304,0.96349,0.87905,0.92422,0.60332,1.21854,0.62622,1.00806,0.00373,0.00373,0.00373
97,22280.1,1.12533,0.64696,1.04026,0.96572,0.87067,0.92279,0.60557,1.21705,0.62722,1.00481,0.003664,0.003664,0.003664
98,22507.3,1.11741,0.63438,1.04025,0.96509,0.876,0.92459,0.60765,1.2206,0.62432,1.00834,0.003598,0.003598,0.003598
99,22734.6,1.11065,0.63739,1.03615,0.97684,0.86646,0.92476,0.60895,1.21418,0.62212,1.00602,0.003532,0.003532,0.003532
100,22961.9,1.09913,0.62698,1.04046,0.96349,0.87753,0.92243,0.60695,1.21611,0.62401,1.00795,0.003466,0.003466,0.003466
101,23188.9,1.10552,0.63172,1.03841,0.96767,0.87929,0.92555,0.60663,1.21432,0.62157,1.00828,0.0034,0.0034,0.0034
102,23415.8,1.09626,0.62288,1.03773,0.96955,0.87465,0.92551,0.60581,1.21461,0.62288,1.00664,0.003334,0.003334,0.003334
103,23642.6,1.10351,0.62525,1.03419,0.96715,0.87609,0.92444,0.60602,1.21522,0.61703,1.00735,0.003268,0.003268,0.003268
104,23869.9,1.1015,0.61532,1.03049,0.9672,0.87758,0.92674,0.6089,1.21248,0.61715,1.00437,0.003202,0.003202,0.003202
105,24097,1.10191,0.61908,1.03364,0.96536,0.87791,0.92552,0.60711,1.21635,0.62476,1.00515,0.003136,0.003136,0.003136
106,24324.3,1.08941,0.61401,1.03047,0.9665,0.87715,0.92605,0.60807,1.21026,0.62313,1.00445,0.00307,0.00307,0.00307
107,24551.5,1.09355,0.61962,1.03922,0.96789,0.87715,0.92489,0.6098,1.20252,0.61838,1.00205,0.003004,0.003004,0.003004
108,24778.8,1.08734,0.61831,1.03936,0.96894,0.88087,0.928,0.61209,1.20048,0.61386,1.00282,0.002938,0.002938,0.002938
109,25006,1.07833,0.61024,1.03031,0.96373,0.88196,0.92648,0.6105,1.20613,0.61502,1.00479,0.002872,0.002872,0.002872
110,25232.9,1.08462,0.60737,1.02859,0.96721,0.87789,0.92458,0.60647,1.21464,0.61558,1.00523,0.002806,0.002806,0.002806
111,25460.2,1.08186,0.60126,1.02829,0.9674,0.876,0.9263,0.61006,1.20781,0.61448,1.00308,0.00274,0.00274,0.00274
112,25687.4,1.05844,0.59111,1.02522,0.96497,0.87715,0.9251,0.60958,1.20322,0.61338,1.00155,0.002674,0.002674,0.002674
113,25914.7,1.07538,0.60506,1.02539,0.9636,0.8788,0.92538,0.61062,1.20594,0.61403,1.00216,0.002608,0.002608,0.002608
114,26141.9,1.07027,0.59736,1.01417,0.96297,0.87676,0.92536,0.60914,1.20473,0.61309,1.00043,0.002542,0.002542,0.002542
115,26369.4,1.07628,0.59659,1.02582,0.96929,0.87333,0.92501,0.60738,1.21004,0.61522,1.00294,0.002476,0.002476,0.002476
